rank,institution_or_publisher,target_type,priority_years_months,requested_pages,reason,contact_or_url
1,Madan Puraskar Pustakalaya,printed_panchanga_catalog,2076-2079; Ashwin/Kartik conflict rows; invalid 2091/2092/2095 weak rows,"cover, colophon, Baishakh 1, Ashwin, Kartik, Chaitra, next-year Baishakh 1",Promotes weak/conflicting rows into official/printed evidence without requiring a full scan.,
2,Nepal National Library,printed_calendar_archive,2076-2079; Ashwin/Kartik conflict rows; invalid 2091/2092/2095 weak rows,same minimal evidence pages,Promotes weak/conflicting rows into official/printed evidence without requiring a full scan.,
3,National Archives Nepal,official_or_printed_archives,2076-2079; Ashwin/Kartik conflict rows; invalid 2091/2092/2095 weak rows,public holiday notices and panchanga scans,Promotes weak/conflicting rows into official/printed evidence without requiring a full scan.,
4,TU Central Library,publisher_collection,2076-2079; Ashwin/Kartik conflict rows; invalid 2091/2092/2095 weak rows,Surya/Toyanath/Jebi Patro yearly scans,Promotes weak/conflicting rows into official/printed evidence without requiring a full scan.,
5,Panchanga publishers,publisher_direct_request,2076-2079; Ashwin/Kartik conflict rows; invalid 2091/2092/2095 weak rows,year-specific minimal evidence pages,Promotes weak/conflicting rows into official/printed evidence without requiring a full scan.,
6,Any official/printed/public daily witness,month_start_confirmation,2082-07,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
7,Any official/printed/public daily witness,month_start_confirmation,2083-07,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
8,Any official/printed/public daily witness,month_start_confirmation,2091-08,date-bearing page or masthead around BS day 1,Adjacent reconstructed starts imply implausible month length.,hamropatro_public_daysInMonth_js
9,Any official/printed/public daily witness,month_start_confirmation,2091-12,date-bearing page or masthead around BS day 1,Adjacent reconstructed starts imply implausible month length.,hamropatro_public_daysInMonth_js
10,Any official/printed/public daily witness,month_start_confirmation,2092-09,date-bearing page or masthead around BS day 1,Adjacent reconstructed starts imply implausible month length.,hamropatro_public_daysInMonth_js
11,Any official/printed/public daily witness,month_start_confirmation,2095-08,date-bearing page or masthead around BS day 1,Adjacent reconstructed starts imply implausible month length.,hamropatro_public_daysInMonth_js
12,Any official/printed/public daily witness,month_start_confirmation,2095-12,date-bearing page or masthead around BS day 1,Adjacent reconstructed starts imply implausible month length.,hamropatro_public_daysInMonth_js
13,Any official/printed/public daily witness,month_start_confirmation,2062-02,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;ratopati_event_day_archive
14,Any official/printed/public daily witness,month_start_confirmation,2081-03,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
15,Any official/printed/public daily witness,month_start_confirmation,2081-12,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
16,Any official/printed/public daily witness,month_start_confirmation,2082-02,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
17,Any official/printed/public daily witness,month_start_confirmation,2082-04,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;sharingapples_nepali_date_config
18,Any official/printed/public daily witness,month_start_confirmation,2082-08,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
19,Any official/printed/public daily witness,month_start_confirmation,2082-10,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
20,Any official/printed/public daily witness,month_start_confirmation,2083-08,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
21,Any official/printed/public daily witness,month_start_confirmation,2083-10,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive
22,Any official/printed/public daily witness,month_start_confirmation,2087-10,date-bearing page or masthead around BS day 1,Multiple sources disagree on month start.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config
