festival_id,year,expected_date,calculated_date,passed,variance_days,source,notes,error
maghe-sankranti,2026,2026-01-14,2026-01-15,PASS,1,nepal_gov,"Makara Sankranti, Sun enters Makara",
bs-new-year,2026,2026-04-14,2026-04-15,PASS,1,nepal_gov,"Mesh Sankranti, Baishakh 1",
shivaratri,2026,2026-02-15,2026-02-15,PASS,0,nepal_gov,Falgun Krishna 14,
holi,2026,2026-03-03,2026-03-02,PASS,1,nepal_gov,Falgun Purnima,
buddha-jayanti,2026,2026-05-12,2026-05-30,FAIL,18,nepal_gov,Baisakh Purnima,
janai-purnima,2026,2026-08-11,2026-07-28,FAIL,14,nepal_gov,Shrawan Purnima,
teej,2026,2026-08-30,2026-08-14,FAIL,16,nepal_gov,Bhadra Shukla 3,
indra-jatra,2026,2026-09-08,2026-08-23,FAIL,16,nepal_gov,Yenya Punhi begins,
dashain,2026,2026-10-10,2026-10-10,PASS,0,nepal_gov,"Ghatasthapana, Ashwin Shukla 1",
tihar,2026,2026-11-07,2026-11-07,PASS,0,nepal_gov,"Kaag Tihar, Kartik Krishna 14",
gai-jatra,2026,2026-08-12,2026-07-29,FAIL,14,nepal_gov,Day after Janai Purnima,
yomari-punhi,2026,2026-12-25,2026-12-23,FAIL,2,estimated,Poush Purnima,
mha-puja,2026,2026-11-11,2026-11-08,FAIL,3,estimated,Nepal Sambat New Year,
chhath,2026,2026-11-12,2026-10-15,FAIL,28,estimated,Kartik Shukla 6,
ghode-jatra,2026,2026-03-18,2026-03-18,PASS,0,estimated,Chaitra Krishna 15,
maghe-sankranti,2027,2027-01-14,2027-01-16,FAIL,2,estimated,Makara Sankranti 2027,
shivaratri,2027,2027-03-05,2027-03-06,PASS,1,estimated,Falgun Krishna 14 2027,
holi,2027,2027-03-22,2027-02-20,FAIL,30,estimated,Falgun Purnima 2027,
dashain,2025,2025-10-20,2025-09-21,FAIL,29,nepal_gov_2025,Ghatasthapana 2025,
tihar,2025,2025-10-28,2025-10-19,FAIL,9,nepal_gov_2025,Kaag Tihar 2025,
