bs_year,month,priority,reason,current_sources,needed_source_type,expected_information_gain,how_it_improves_accuracy
source_expansion,all,P0,official/printed final-test corpus has 72 month cases; target is 528,72 official month cases,official_verified_or_printed_verified,high,expands source-strict calibration and claim-ready validation set
source_expansion,all,P0,official_verified_cases_below_required_threshold,72 official month cases,official_verified_or_printed_verified,high,expands source-strict calibration and claim-ready validation set
source_expansion,all,P0,official_verified_cases_below_required_threshold,72 official month cases,official_verified_or_printed_verified,high,expands source-strict calibration and claim-ready validation set
2084,1,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,5,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,6,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2084,12,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,7,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,9,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,10,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,11,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2085,12,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,1,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,2,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,3,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,4,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,5,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,6,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,7,P1,sankranti_moderately_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,8,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
2086,9,P1,manual_review_recommended|sankranti_near_civil_assignment_boundary,computed_prediction_not_official,future_official_publication_when_available,medium,validates uncertain future month and recalibrates risk thresholds
