festival_id,year,expected_date,calculated_date,passed,variance_days,source,notes,error
maghe-sankranti,2026,2026-01-14,2026-01-14,PASS,0,nepal_gov,"Makara Sankranti, Sun enters Makara",
bs-new-year,2026,2026-04-14,2026-04-14,PASS,0,nepal_gov,"Mesh Sankranti, Baishakh 1",
shivaratri,2026,2026-02-14,2026-02-14,PASS,0,moha_pdf_2082,Falgun 3 (MoHA 2082),
holi,2026,2026-03-03,2026-03-03,PASS,0,nepal_gov,Falgun Purnima,
buddha-jayanti,2026,2026-05-12,2026-05-12,PASS,0,nepal_gov,Baisakh Purnima,
janai-purnima,2026,2026-08-11,2026-08-11,PASS,0,nepal_gov,Shrawan Purnima,
teej,2026,2026-08-30,2026-08-30,PASS,0,nepal_gov,Bhadra Shukla 3,
indra-jatra,2026,2026-09-08,2026-09-08,PASS,0,nepal_gov,Yenya Punhi begins,
dashain,2026,2026-10-10,2026-10-10,PASS,0,nepal_gov,"Ghatasthapana, Ashwin Shukla 1",
tihar,2026,2026-11-07,2026-11-07,PASS,0,nepal_gov,"Kaag Tihar, Kartik Krishna 14",
gai-jatra,2026,2026-08-12,2026-08-12,PASS,0,nepal_gov,Day after Janai Purnima,
yomari-punhi,2026,2026-12-25,2026-12-25,PASS,0,estimated,Poush Purnima,
mha-puja,2026,2026-11-11,2026-11-11,PASS,0,estimated,Nepal Sambat New Year,
chhath,2026,2026-11-12,2026-11-12,PASS,0,estimated,Kartik Shukla 6,
ghode-jatra,2026,2026-03-18,2026-03-17,PASS,1,estimated,Chaitra Krishna 15,
maghe-sankranti,2027,2027-01-14,2027-01-14,PASS,0,estimated,Makara Sankranti 2027,
shivaratri,2027,2027-03-05,2027-03-05,PASS,0,estimated,Falgun Krishna 14 2027,
holi,2027,2027-03-22,2027-03-22,PASS,0,estimated,Falgun Purnima 2027,
dashain,2025,2025-09-23,2025-09-23,PASS,0,moha_pdf_2082,Ghatasthapana 2082 BS,
tihar,2025,2025-10-20,2025-10-20,PASS,0,moha_pdf_2082,Tihar holiday start 2082 BS,
bs-new-year,2023,2023-04-14,2023-04-14,PASS,0,moha_pdf_2080,(क) नव वर्ष (BS 2080),
janai-purnima,2023,2023-08-30,2023-08-30,PASS,0,moha_pdf_2080,(ग) रक्षाबन्धन (BS 2080),
dashain,2023,2023-10-14,2023-10-14,PASS,0,moha_pdf_2080,(ङ) घटस्थापना (BS 2080),
chhath,2023,2023-11-19,2023-11-19,PASS,0,moha_pdf_2080,(ज) छठ पर्व (BS 2080),
tamu-lhosar,2023,2023-12-30,2023-12-30,PASS,0,moha_pdf_2080,(ट) तमू ल्होसार (BS 2080),
sonam-lhosar,2024,2024-02-10,2024-02-10,PASS,0,moha_pdf_2080,(ड) सोनम ल्होसार (BS 2080),
shivaratri,2024,2024-03-08,2024-03-08,PASS,0,moha_pdf_2080,(ढ) महाशिवरात्री (BS 2080),
teej,2023,2023-09-17,2023-09-17,PASS,0,moha_pdf_2080,(क) हरितालिका (तीज) व्रत (BS 2080),
saraswati-puja,2024,2024-02-14,2024-02-14,PASS,0,moha_pdf_2080,वसन्त पञ्चमी (BS 2080),
gai-jatra,2023,2023-08-30,2023-08-30,PASS,0,moha_pdf_2080,(क) गाईजात्रा (BS 2080),
indra-jatra,2023,2023-09-27,2023-09-27,PASS,0,moha_pdf_2080,(ख) इन्द्रजात्रा (BS 2080),
ghode-jatra,2024,2024-04-08,2024-04-08,PASS,0,moha_pdf_2080,(घ) घोडेजात्रा (BS 2080),
buddha-jayanti,2023,2023-05-05,2023-05-05,PASS,0,moha_pdf_2080,(क) बुद्ध जयन्ती (BS 2080),
bs-new-year,2024,2024-04-13,2024-04-13,PASS,0,moha_pdf_2081,(क) नव वर्ष (BS 2081),
ram-navami,2024,2024-04-17,2024-04-17,PASS,0,moha_pdf_2081,(ख) रामनवमी (BS 2081),
ubhauli,2024,2024-05-23,2024-05-23,PASS,0,moha_pdf_2081,उभौली पर्व (BS 2081),
janai-purnima,2024,2024-08-20,2024-08-20,PASS,0,moha_pdf_2081,(घ) रक्षाबन्धन (BS 2081),
krishna-janmashtami,2024,2024-08-27,2024-08-27,PASS,0,moha_pdf_2081,(ङ) श्रीकृष्ण जन्माष्टमी (BS 2081),
dashain,2024,2024-10-04,2024-10-04,PASS,0,moha_pdf_2081,(च) घटस्थापना (BS 2081),
chhath,2024,2024-11-08,2024-11-08,PASS,0,moha_pdf_2081,(झ) छठ पर्व (BS 2081),
tamu-lhosar,2024,2024-12-30,2024-12-30,PASS,0,moha_pdf_2081,(ठ) तमु ल्होसार (BS 2081),
sonam-lhosar,2025,2025-01-31,2025-01-31,PASS,0,moha_pdf_2081,(ढ) सोनम ल्होसार (BS 2081),
shivaratri,2025,2025-02-26,2025-02-26,PASS,0,moha_pdf_2081,(ण) महाशिवरात्री (BS 2081),
gai-jatra,2024,2024-08-21,2024-08-21,PASS,0,moha_pdf_2081,(क) गाईजात्रा (BS 2081),
saraswati-puja,2025,2025-02-04,2025-02-04,PASS,0,moha_pdf_2081,वसन्त पञ्चमी (BS 2081),
indra-jatra,2024,2024-09-18,2024-09-18,PASS,0,moha_pdf_2081,(ख) इन्द्रजात्रा (BS 2081),
ghode-jatra,2025,2025-03-30,2025-03-30,PASS,0,moha_pdf_2081,(घ) घोडेजात्रा (BS 2081),
buddha-jayanti,2024,2024-05-23,2024-05-23,PASS,0,moha_pdf_2081,(क) बुद्ध जयन्ती (BS 2081),
bs-new-year,2025,2025-04-14,2025-04-14,PASS,0,moha_pdf_2082,(क) नव वर्ष (BS 2082),
janai-purnima,2025,2025-08-09,2025-08-09,PASS,0,moha_pdf_2082,(ग) रक्षाबन्धन (BS 2082),
krishna-janmashtami,2025,2025-08-16,2025-08-16,PASS,0,moha_pdf_2082,(घ) श्रीकृष्ण जन्माष्टमी (BS 2082),
dashain,2025,2025-09-23,2025-09-23,PASS,0,moha_pdf_2082,(ङ) घटस्थापना (BS 2082),
tihar,2025,2025-10-20,2025-10-20,PASS,0,moha_pdf_2082,(छ) तिहार बिदा (BS 2082),
chhath,2025,2025-10-27,2025-10-27,PASS,0,moha_pdf_2082,(ज) छठ पर्व (BS 2082),
tamu-lhosar,2025,2025-12-30,2025-12-30,PASS,0,moha_pdf_2082,(ट) तमू ल्होछार (BS 2082),
sonam-lhosar,2026,2026-01-19,2026-01-18,PASS,1,moha_pdf_2082,(ड) सोनम ल्होछार (BS 2082),
shivaratri,2026,2026-02-15,2026-02-14,PASS,1,moha_pdf_2082,(ढ): महाशिवरात्री (BS 2082),
gyalpo-lhosar,2026,2026-02-18,2026-02-17,PASS,1,moha_pdf_2082,(ण) ग्याल्पो ल्होसार (BS 2082),
ram-navami,2026,2026-03-27,2026-03-26,PASS,1,moha_pdf_2082,(ध) रामनवमी (BS 2082),
teej,2025,2025-08-27,2025-08-27,PASS,0,moha_pdf_2082,(क) हरितालिका (तीज) व्रत (BS 2082),
saraswati-puja,2026,2026-01-23,2026-01-22,PASS,1,moha_pdf_2082,वसन्त पञ्चमी (BS 2082),
indra-jatra,2025,2025-09-07,2025-09-07,PASS,0,moha_pdf_2082,(ख) इन्द्रजात्रा (BS 2082),
ghode-jatra,2026,2026-03-18,2026-03-17,PASS,1,moha_pdf_2082,(घ) घोडेजात्रा (BS 2082),
buddha-jayanti,2025,2025-05-12,2025-05-12,PASS,0,moha_pdf_2082,(क) बुद्ध जयन्ती (BS 2082),
