source_id,source_type,source_tier,source_name,source_url,source_file,extraction_method,extraction_confidence,ad_date,bs_year,bs_month,bs_day,weekday_if_available,raw_text,raw_html_snippet_or_image_ref,page_number_if_pdf,image_crop_path_if_available,ocr_engine_if_used,parser_version,manual_review_status,usable_for_training,usable_for_official_claim,notes,created_at
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-04-14,2000,1,1,,2000-01-01 -> 1943-04-14,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
medic_bikram_sambat_daysInMonth,software_table_reference,5,medic/bikram-sambat daysInMonth.json,https://raw.githubusercontent.com/medic/bikram-sambat/master/test-data/daysInMonth.json,data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,open_source_month_table_to_month_start,0.72,1943-04-14,2000,1,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=30",data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
ratopati_event_day_archive,publisher_reference,4,Ratopati public calendar event-day archive,https://calendar.ratopati.com/ad,data/source_archive/ratopati/event_days_2000_2100.json,local_event_day_bs_day_1_filter,0.7,1943-04-14,2000,1,1,Wednesday,"[{""title_np"": ""नववर्ष प्रारम्भ"", ""event_type"": """", ""is_holiday"": true, ""time_from"": """", ""time_to"": """"}]",data/source_archive/ratopati/event_days_2000_2100.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Partial public calendar event-day witness.,2026-05-07T22:32:07Z
sharingapples_nepali_date_config,software_table_reference,5,sharingapples/nepali-date config.js,https://raw.githubusercontent.com/sharingapples/nepali-date/master/src/config.js,data/future_bs/witnesses/raw/open_source/sharingapples_config.js,open_source_month_table_to_month_start,0.72,1943-04-14,2000,1,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=30",data/future_bs/witnesses/raw/open_source/sharingapples_config.js,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-05-14,2000,2,1,,2000-02-01 -> 1943-05-14,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
medic_bikram_sambat_daysInMonth,software_table_reference,5,medic/bikram-sambat daysInMonth.json,https://raw.githubusercontent.com/medic/bikram-sambat/master/test-data/daysInMonth.json,data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,open_source_month_table_to_month_start,0.72,1943-05-14,2000,2,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=32",data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
sharingapples_nepali_date_config,software_table_reference,5,sharingapples/nepali-date config.js,https://raw.githubusercontent.com/sharingapples/nepali-date/master/src/config.js,data/future_bs/witnesses/raw/open_source/sharingapples_config.js,open_source_month_table_to_month_start,0.72,1943-05-14,2000,2,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=32",data/future_bs/witnesses/raw/open_source/sharingapples_config.js,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-06-15,2000,3,1,,2000-03-01 -> 1943-06-15,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
medic_bikram_sambat_daysInMonth,software_table_reference,5,medic/bikram-sambat daysInMonth.json,https://raw.githubusercontent.com/medic/bikram-sambat/master/test-data/daysInMonth.json,data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,open_source_month_table_to_month_start,0.72,1943-06-15,2000,3,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=31",data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
sharingapples_nepali_date_config,software_table_reference,5,sharingapples/nepali-date config.js,https://raw.githubusercontent.com/sharingapples/nepali-date/master/src/config.js,data/future_bs/witnesses/raw/open_source/sharingapples_config.js,open_source_month_table_to_month_start,0.72,1943-06-15,2000,3,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=31",data/future_bs/witnesses/raw/open_source/sharingapples_config.js,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-07-16,2000,4,1,,2000-04-01 -> 1943-07-16,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
medic_bikram_sambat_daysInMonth,software_table_reference,5,medic/bikram-sambat daysInMonth.json,https://raw.githubusercontent.com/medic/bikram-sambat/master/test-data/daysInMonth.json,data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,open_source_month_table_to_month_start,0.72,1943-07-16,2000,4,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=32",data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
sharingapples_nepali_date_config,software_table_reference,5,sharingapples/nepali-date config.js,https://raw.githubusercontent.com/sharingapples/nepali-date/master/src/config.js,data/future_bs/witnesses/raw/open_source/sharingapples_config.js,open_source_month_table_to_month_start,0.72,1943-07-16,2000,4,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=32",data/future_bs/witnesses/raw/open_source/sharingapples_config.js,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-08-17,2000,5,1,,2000-05-01 -> 1943-08-17,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
medic_bikram_sambat_daysInMonth,software_table_reference,5,medic/bikram-sambat daysInMonth.json,https://raw.githubusercontent.com/medic/bikram-sambat/master/test-data/daysInMonth.json,data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,open_source_month_table_to_month_start,0.72,1943-08-17,2000,5,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=31",data/future_bs/witnesses/raw/open_source/medic_daysInMonth.json,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
sharingapples_nepali_date_config,software_table_reference,5,sharingapples/nepali-date config.js,https://raw.githubusercontent.com/sharingapples/nepali-date/master/src/config.js,data/future_bs/witnesses/raw/open_source/sharingapples_config.js,open_source_month_table_to_month_start,0.72,1943-08-17,2000,5,1,,"bs_year=2000; month_lengths=[30, 32, 31, 32, 31, 30, 30, 30, 29, 30, 29, 31]; selected_month_length=31",data/future_bs/witnesses/raw/open_source/sharingapples_config.js,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Month-start derived from public source table and 2000-01-01 BS epoch.,2026-05-07T22:32:07Z
hamropatro_public_daysInMonth_js,third_party_reference,6,HamroPatro public JS/day archive,https://english.hamropatro.com/date/2082-1-1,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,local_public_archive_day1_filter,0.8,1943-09-17,2000,6,1,,2000-06-01 -> 1943-09-17,data/source_archive/hamropatro/hamropatro_bs_ad_2000_2099.csv,,,,witness_reconstruction_v1,machine_extracted_needs_review,true,false,Low-trust third-party public witness; not official.,2026-05-07T22:32:07Z
