rank,priority,ird_serial,pan,application_name,version,enlisted_no,ird_page,segment,technology,fit_reason,outreach_angle
1,A,1347,621111794,"Nepal Compliance","V0.1.0",8201348,72,compliance,"JavaScript; jQuery; Bootstrap; Python; MariaDB; Redis","Direct Nepal compliance product with modern backend","BS boundary and source-consistency regression audit"
2,A,1340,601855494,"Awecountant","3.0.0",8201341,72,accounting,"Vue.js; Python; PostgreSQL","Accounting workflows carry fiscal and dual-date risk","Invoice and fiscal-boundary assurance"
3,A,1360,604290399,"Providhy Billing","1.2.0",8201361,73,billing,"React.js; Next.js; Python; Django","Modern web billing stack suited to API and CI integration","Free twenty-case billing-date audit"
4,A,1216,610359253,"iFusion Billing Software","1.0.0",8101217,64,billing,"React Native Web; TypeScript; Bun; tRPC; Prisma; PostgreSQL","Modern TypeScript billing product with easy regression integration","TypeScript fixtures and annual calendar updates"
5,A,1281,621169214,"Eazyinvo","1.1.7",8201282,68,billing,"React; React Native; Node.js; Express; MySQL","Invoice product has direct date and fiscal exposure","Invoice-date round-trip audit"
6,A,1351,610395848,"Kutumba ERP - Accounting and Billing System","v1",8201352,72,erp,"React; TypeScript; ASP.NET Core; C#","ERP combines accounting and billing date responsibilities","Cross-module BS and fiscal conformance pack"
7,A,1243,605968420,"GrowthERP","2.0",8101244,66,erp,"Angular; Flutter; React; TypeScript; C# .NET Core; Node.js; MongoDB","Broad multi-client ERP surface creates recurring date risk","Frontend and backend calendar parity audit"
8,A,1290,500219487,"MiDas EMR & ERP","25.0.0.1",8201291,69,healthcare_erp,"React; React Native; Vue; Java; Kotlin; PHP; Node.js; .NET; Python; Go","Healthcare ERP handles appointments billing and institutional calendars","Clinical scheduling and billing date assurance"
9,A,1293,302474354,"IMS Distribution Management Software","3.0.0",8201294,69,distribution_erp,"Angular; Web API; MSSQL; PostgreSQL","Distribution workflows depend on invoice and settlement dates","Invoice due-date and fiscal cutover audit"
10,A,1348,606578453,"GERP e-billing","2.4",8201349,72,billing,"Web; PHP","Dedicated e-billing product with recurring calendar maintenance need","BS conversion and fiscal-year test pack"
11,A,1345,301588571,"FACTERP.NG","7.0.5",8201346,72,erp,"Microsoft .NET; Microsoft SQL Server 2022","Mature ERP likely serves many downstream businesses","Vendor-wide regression suite and annual support"
12,A,1326,609654367,"ACME ERP","25.0.0.0",8201327,71,erp,"Blazor; Flutter; C#; Web API; SQL Server","Modern multi-surface ERP can consume API and test fixtures","SDK integration plus fiscal regression audit"
13,A,1297,609813487,"Pivotal ERP","1.0",8201298,69,erp,"ASP.NET MVC; Microsoft SQL Server 2016","ERP workflow exposes billing inventory and reporting dates","BS month-boundary audit"
14,A,1313,622372781,"Wings ERP Nepal Edition","Build 24 or higher",8201314,70,erp,".NET WinForms; ASP.NET Core; SQL Server 2019","Nepal edition creates a strong local-calendar buying signal","Nepal date assurance and annual release feed"
15,A,1328,606885379,"ERPNext Raindrop Localization","V1",8201329,71,erp_localization,"JavaScript; Python","Localization vendor can distribute fixes across ERPNext clients","Reusable ERPNext regression package"
