rank,bs_year,bs_month,current_status,current_sources,issue_type,expected_accuracy_gain,expected_claim_readiness_gain,reason,recommended_manual_action,source_url_or_file,page_or_crop_if_available
1,2082,7,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
2,2083,7,source_disagreement,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
3,2091,8,invalid_month_length,hamropatro_public_daysInMonth_js,invalid_month_length,high,medium,Adjacent reconstructed starts imply implausible month length.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
4,2091,12,invalid_month_length,hamropatro_public_daysInMonth_js,invalid_month_length,high,medium,Adjacent reconstructed starts imply implausible month length.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
5,2092,9,invalid_month_length,hamropatro_public_daysInMonth_js,invalid_month_length,high,medium,Adjacent reconstructed starts imply implausible month length.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
6,2095,8,invalid_month_length,hamropatro_public_daysInMonth_js,invalid_month_length,high,medium,Adjacent reconstructed starts imply implausible month length.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
7,2095,12,invalid_month_length,hamropatro_public_daysInMonth_js,invalid_month_length,high,medium,Adjacent reconstructed starts imply implausible month length.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
8,2062,2,source_disagreement,hamropatro_public_daysInMonth_js;ratopati_event_day_archive,source_disagreement,high,medium,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;ratopati_event_day_archive,
9,2081,3,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
10,2081,12,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
11,2082,2,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
12,2082,4,source_disagreement,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;sharingapples_nepali_date_config,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;sharingapples_nepali_date_config,
13,2082,8,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
14,2082,10,source_disagreement,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
15,2083,8,source_disagreement,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
16,2083,10,source_disagreement,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,source_disagreement,high,high,Multiple sources disagree on month start.,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
