priority,bs_year,bs_month,issue_type,current_candidate_start_dates,sources,reason,expected_information_gain,recommended_manual_action,source_file_or_url,page_number_or_crop_if_available
115,2082,7,source_disagreement,2025-10-18,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
115,2083,7,source_disagreement,2026-10-18,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start. Ashwin/Kartik boundary is high-impact for 2083-style risk.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
110,2091,8,invalid_month_length,2034-11-18,hamropatro_public_daysInMonth_js,Adjacent reconstructed starts imply implausible month length.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
110,2091,12,invalid_month_length,2035-03-17,hamropatro_public_daysInMonth_js,Adjacent reconstructed starts imply implausible month length.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
110,2092,9,invalid_month_length,2035-12-18,hamropatro_public_daysInMonth_js,Adjacent reconstructed starts imply implausible month length.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
110,2095,8,invalid_month_length,2038-11-18,hamropatro_public_daysInMonth_js,Adjacent reconstructed starts imply implausible month length.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
110,2095,12,invalid_month_length,2039-03-17,hamropatro_public_daysInMonth_js,Adjacent reconstructed starts imply implausible month length.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js,
100,2062,2,source_disagreement,2005-05-15,hamropatro_public_daysInMonth_js;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;ratopati_event_day_archive,
100,2081,3,source_disagreement,2024-06-15,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2081,12,source_disagreement,2025-03-14,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2082,2,source_disagreement,2025-05-15,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2082,4,source_disagreement,2025-07-16,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;sharingapples_nepali_date_config,
100,2082,8,source_disagreement,2025-11-17,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2082,10,source_disagreement,2026-01-15,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;medic_bikram_sambat_daysInMonth;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2083,8,source_disagreement,2026-11-17,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2083,10,source_disagreement,2027-01-15,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,hamropatro_public_daysInMonth_js;parva_structured_official_2078_2083;rat32_public_calendar_pages;ratopati_event_day_archive,
100,2087,10,source_disagreement,2031-01-15,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2087,11,source_disagreement,2031-02-14,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2087,12,source_disagreement,2031-03-16,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,1,source_disagreement,2031-04-15,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2088,2,source_disagreement,2031-05-15,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2088,3,source_disagreement,2031-06-15,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,4,source_disagreement,2031-07-17,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,5,source_disagreement,2031-08-18,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,6,source_disagreement,2031-09-17,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
100,2088,7,source_disagreement,2031-10-18,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,8,source_disagreement,2031-11-17,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,9,source_disagreement,2031-12-17,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;sharingapples_nepali_date_config,
100,2088,10,source_disagreement,2032-01-15,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,Multiple sources disagree on month start.,high,Obtain official/printed calendar image or newspaper masthead for this BS day 1.,medic_bikram_sambat_daysInMonth;ratopati_event_day_archive;sharingapples_nepali_date_config,
