priority,bs_year,month,month_name,reason,confidence_score,risk_flags,needed_evidence
P1,2084,12,Chaitra,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2085,1,Baishakh,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P1,2086,3,Ashadh,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2086,4,Shrawan,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2087,4,Shrawan,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2087,6,Ashwin,low_confidence_or_manual_review,0.992,diagnostic_baseline_disagreement|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P1,2088,12,Chaitra,low_confidence_or_manual_review,0.74,diagnostic_baseline_disagreement|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P0,2089,1,Baishakh,invalid_or_exceptional_year_total,0.74,diagnostic_baseline_disagreement|invalid_or_exceptional_year_total|manual_review_recommended|model_disagreement|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P0,2089,2,Jestha,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,3,Ashadh,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,4,Shrawan,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,5,Bhadra,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,6,Ashwin,invalid_or_exceptional_year_total,0.992,diagnostic_baseline_disagreement|invalid_or_exceptional_year_total|manual_review_recommended|modern_solar_civil_override,official_panchanga_or_verified_printed_reference
P0,2089,7,Kartik,invalid_or_exceptional_year_total,0.992,diagnostic_baseline_disagreement|invalid_or_exceptional_year_total|manual_review_recommended|resolved_statistical_solar_disagreement,official_panchanga_or_verified_printed_reference
P0,2089,8,Mangsir,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,9,Poush,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
P0,2089,10,Magh,invalid_or_exceptional_year_total,0.992,invalid_or_exceptional_year_total|manual_review_recommended,official_panchanga_or_verified_printed_reference
